100
Atoms. Timestep: 686700000
1 -0.0102185 0.0387604 0.00875075
1 0.392857 -0.659575 0.58973
1 1.24554 -0.339697 1.01507
1 2.11219 -0.479481 0.53048
1 3.0954 -0.399636 0.704871
1 4.02712 -0.613617 0.411836
1 4.91593 -0.99366 0.179938
1 5.768 -0.513925 -0.0455751
1 6.47598 0.0807634 -0.450566
1 7.11098 -0.0774915 0.305162
1 7.74152 0.544437 -0.171189
1 8.73694 0.429104 -0.232556
1 9.28416 -0.207163 -0.772956
1 10.2345 0.0907123 -0.752604
1 10.4386 -0.699006 -1.33658
1 10.8693 0.0228938 -1.87921
1 11.7443 -0.151709 -2.32664
1 12.1721 -0.212454 -3.23092
1 12.8913 -0.578392 -2.63032
1 13.0041 0.333081 -3.02858
1 13.6223 0.987492 -3.47458
1 14.3621 0.477239 -3.90572
1 15.0894 0.969235 -4.37034
1 15.6765 0.220901 -4.70208
1 16.5726 0.200775 -4.26615
1 17.4047 0.454846 -4.76647
1 17.8538 1.24792 -5.17802
1 18.0826 0.87274 -6.08032
1 18.0688 -0.126176 -6.05323
1 18.8006 0.551212 -6.14726
1 19.0539 1.41613 -6.58326
1 19.4358 2.10568 -7.20277
1 20.3226 1.64651 -7.28201
1 21.2767 1.95799 -7.28811
1 21.5208 1.92303 -8.25797
1 21.9704 2.80603 -8.09922
1 22.5515 2.0933 -7.69138
1 23.1344 1.73787 -6.9636
1 22.4206 1.26113 -6.44873
1 23.2548 1.60447 -6.87872
1 24.0579 2.20043 -6.97695
1 24.7639 1.56532 -7.30513
1 24.6209 0.594939 -7.08664
1 24.8506 -0.325599 -6.78631
1 25.2306 -1.24828 -6.86978
1 25.3729 -1.49048 -7.8362
1 25.3523 -1.14369 -8.76962
1 26.3457 -1.02072 -8.75478
1 26.2512 -2.00704 -8.75879
1 26.5113 -2.96591 -8.88962
1 25.8556 -2.98407 -9.6462
1 25.4868 -3.1423 -10.5612
1 25.8848 -2.65625 -9.77303
1 26.1621 -1.80476 -9.32618
1 26.836 -1.15695 -9.65828
1 26.9768 -1.67298 -8.81213
1 26.0381 -1.33343 -8.83185
1 25.3333 -0.667697 -8.60469
1 25.8686 -1.37349 -8.14382
1 25.8179 -2.18922 -7.56038
1 26.4571 -2.26804 -6.78466
1 26.8119 -2.30178 -5.85328
1 26.2064 -2.57379 -5.11006
1 25.4295 -2.92596 -4.58498
1 24.4918 -2.58851 -4.65876
1 24.3476 -2.11812 -3.78487
1 23.6299 -1.47554 -3.52046
1 22.667 -1.67113 -3.69915
1 21.8248 -1.63838 -4.24264
1 20.9182 -1.56416 -4.64547
1 20.7131 -0.591781 -4.77939
1 20.2639 0.215671 -4.40462
1 19.5212 -0.453682 -4.43254
1 19.5345 -1.45422 -4.42607
1 19.5097 -0.766418 -5.14916
1 18.6972 -1.06067 -4.64815
1 17.9699 -0.948266 -3.96846
1 17.8601 -1.74763 -3.35721
1 17.0121 -1.71321 -2.82899
1 16.1397 -1.52408 -2.38183
1 15.1511 -1.48424 -2.21605
1 14.2844 -1.87456 -2.51025
1 13.537 -2.53815 -2.54259
1 12.6392 -2.16962 -2.28265
1 11.756 -2.33876 -2.71219
1 11.2167 -3.06959 -2.29794
1 10.9738 -3.11189 -1.32455
1 10.1023 -2.62842 -1.34817
1 9.12766 -2.39263 -1.39029
1 8.58187 -1.56206 -1.26752
1 8.32963 -1.77689 -0.326513
1 7.34679 -1.81299 -0.440223
1 6.71396 -1.09437 -0.141892
1 5.76531 -1.18084 0.148593
1 4.80716 -1.12573 0.424683
1 4.1921 -0.33809 0.520198
1 3.50517 -0.952406 0.137885
1 2.50319 -0.979557 0.143729
1 1.5097 -0.889468 0.235199
1 0.731431 -0.346068 0.55175
