50
Atoms. Timestep: 19100000
1 0.0160365 -0.00289057 -0.0211065
1 -0.215885 -0.412771 -0.895573
1 -0.196405 -1.28281 -0.409191
1 -0.62539 -1.45302 0.474319
1 -1.38591 -1.50503 -0.177817
1 -0.704133 -1.62009 -0.902983
1 -1.65784 -1.39043 -1.06832
1 -2.30844 -0.714465 -0.728003
1 -3.30009 -0.624295 -0.705344
1 -3.98083 -0.125227 -1.24314
1 -3.84324 0.59395 -0.560361
1 -4.08203 0.718595 0.402871
1 -4.09483 -0.109062 0.958087
1 -3.55386 -0.834574 1.38573
1 -2.61556 -0.827279 1.73657
1 -2.88714 -0.112687 2.37463
1 -2.0022 0.050342 2.82142
1 -1.45277 -0.0636169 3.64644
1 -1.63068 0.91802 3.66044
1 -1.66763 0.551274 4.58511
1 -0.806476 1.07631 4.59364
1 -0.235008 0.445575 5.11393
1 -0.00620665 -0.231476 4.41904
1 -0.631394 -0.53273 5.14392
1 -1.5131 -0.621159 4.68578
1 -1.60901 -1.53546 4.28725
1 -2.04905 -2.30882 3.81935
1 -1.64491 -1.50144 3.39237
1 -1.36402 -2.26564 2.80534
1 -1.99665 -3.04094 2.83467
1 -1.75852 -2.58787 1.97877
1 -1.39908 -1.70533 1.6731
1 -2.01903 -1.33428 0.984747
1 -1.12142 -1.06057 1.33387
1 -0.430399 -0.952238 0.627617
1 0.189094 -0.379203 1.17886
1 -0.365532 0.267975 1.69665
1 -0.24793 -0.426031 2.40945
1 0.522359 -0.929646 2.81206
1 1.25859 -1.47435 3.22041
1 1.65089 -0.770073 2.61897
1 1.68038 -0.119165 3.37318
1 1.59003 0.790926 2.96392
1 1.5948 1.73712 3.27787
1 0.81442 1.23704 2.90618
1 1.55844 1.36477 2.24679
1 0.611428 1.19432 1.99207
1 0.101204 0.454804 2.43899
1 -0.219382 1.01426 1.6722
1 -0.192027 0.517388 0.807708
